timestamp_utc,gpu_name,gpu_memory_total_mib,gpu_memory_used_mib,gpu_utilization_pct,gpu_memory_utilization_pct,gpu_temperature_c,gpu_power_w,ram_total_mib,ram_used_mib,ram_available_mib,load_1m,disk_available_gib
2026-08-25T12:36:41+00:00,NVIDIA H200,143771,0,15,0,26,118.69,76293,4247,72046,1.17,9386,
2026-08-25T12:37:14+00:00,NVIDIA H200,143771,1239,11,1,26,131.74,76293,5689,70604,1.29,9386,
2026-08-25T12:37:44+00:00,NVIDIA H200,143771,1239,11,1,27,134.54,76293,5694,70599,1.24,9386,
2026-08-25T12:38:14+00:00,NVIDIA H200,143771,1239,11,1,27,132.22,76293,5727,70566,1.15,9386,
2026-08-25T12:38:44+00:00,NVIDIA H200,143771,1239,11,1,28,131.43,76293,5731,70562,1.30,9386,
2026-08-25T12:39:15+00:00,NVIDIA H200,143771,1239,11,1,29,131.68,76293,5746,70547,1.25,9386,
2026-08-25T12:39:45+00:00,NVIDIA H200,143771,1239,11,1,30,135.56,76293,5756,70537,1.15,9386,
2026-08-25T12:40:15+00:00,NVIDIA H200,143771,1239,11,1,31,135.26,76293,5694,70599,1.09,9386,
2026-08-25T12:40:45+00:00,NVIDIA H200,143771,1239,11,1,32,137.06,76293,5720,70573,1.11,9386,
2026-08-25T12:41:15+00:00,NVIDIA H200,143771,1239,11,1,33,136.44,76293,5745,70548,1.16,9386,
2026-08-25T12:41:45+00:00,NVIDIA H200,143771,1239,12,1,33,143.19,76293,5820,70473,1.34,9386,
2026-08-25T12:42:15+00:00,NVIDIA H200,143771,1239,10,1,34,133.79,76293,5833,70460,1.14,9386,
2026-08-25T12:42:45+00:00,NVIDIA H200,143771,1239,12,1,34,135.48,76293,5843,70450,1.09,9386,
2026-08-25T12:43:15+00:00,NVIDIA H200,143771,1239,12,1,35,138.42,76293,5855,70438,1.11,9386,
2026-08-25T12:43:46+00:00,NVIDIA H200,143771,1239,12,1,36,138.62,76293,5845,70448,1.06,9386,
2026-08-25T12:44:16+00:00,NVIDIA H200,143771,1241,11,1,36,137.32,76293,5844,70449,0.97,9386,
