timestamp_utc,gpu_name,gpu_memory_total_mib,gpu_memory_used_mib,gpu_utilization_pct,gpu_memory_utilization_pct,gpu_temperature_c,gpu_power_w,ram_total_mib,ram_used_mib,ram_available_mib,load_1m,disk_available_gib
2026-08-30T09:34:15+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.63,2063872,52090,1624922,0.71,690
2026-08-30T09:34:45+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.67,2063872,52604,1624337,0.76,690
2026-08-30T09:35:15+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.56,2063872,52012,1624723,0.91,690
2026-08-30T09:35:45+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.53,2063872,51907,1624817,1.00,690
2026-08-30T09:36:16+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.59,2063872,51881,1624832,1.14,690
2026-08-30T09:36:46+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.70,2063872,51876,1624831,1.08,690
2026-08-30T09:37:16+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.64,2063872,51898,1624803,0.98,690
2026-08-30T09:37:46+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.38,2063872,51908,1624785,4.44,690
2026-08-30T09:38:16+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.65,2063872,51902,1624786,12.32,690
2026-08-30T09:38:46+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.68,2063872,51904,1624777,13.46,690
2026-08-30T09:39:16+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.48,2063872,51875,1624799,9.03,690
2026-08-30T09:39:46+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.64,2063872,51897,1624770,6.01,690
2026-08-30T09:40:16+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.68,2063872,51969,1624672,4.26,690
2026-08-30T09:40:46+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.70,2063872,52237,1624187,3.12,690
2026-08-30T09:41:17+00:00,NVIDIA H200 NVL,143771,23,0,0,30,72.75,2063872,52239,1624067,9.76,690
2026-08-30T09:41:47+00:00,NVIDIA H200 NVL,143771,1247,25,3,33,116.31,2063872,53039,1623212,6.31,690
2026-08-30T09:42:17+00:00,NVIDIA H200 NVL,143771,1249,21,2,34,121.39,2063872,53008,1623243,4.35,690
2026-08-30T09:42:47+00:00,NVIDIA H200 NVL,143771,1251,18,2,35,119.11,2063872,52986,1623265,3.09,690
2026-08-30T09:43:17+00:00,NVIDIA H200 NVL,143771,1253,26,3,35,119.46,2063872,52977,1623273,2.32,690
2026-08-30T09:43:47+00:00,NVIDIA H200 NVL,143771,1253,15,1,35,119.80,2063872,52964,1623287,2.03,690
2026-08-30T09:44:17+00:00,NVIDIA H200 NVL,143771,1253,14,1,35,117.68,2063872,52949,1623302,1.62,690
2026-08-30T09:44:47+00:00,NVIDIA H200 NVL,143771,1255,15,1,35,115.35,2063872,52948,1623302,1.45,690
2026-08-30T09:45:17+00:00,NVIDIA H200 NVL,143771,1257,16,1,35,115.75,2063872,52954,1623296,1.27,690
2026-08-30T09:45:48+00:00,NVIDIA H200 NVL,143771,1257,15,1,35,115.69,2063872,52936,1623314,1.22,690
2026-08-30T09:46:18+00:00,NVIDIA H200 NVL,143771,1265,14,1,35,122.64,2063872,52964,1623286,1.34,690
2026-08-30T09:46:48+00:00,NVIDIA H200 NVL,143771,1265,13,1,35,117.95,2063872,52952,1623298,9.93,690
2026-08-30T09:47:18+00:00,NVIDIA H200 NVL,143771,1265,14,1,35,118.25,2063872,52925,1623324,6.59,690
2026-08-30T09:47:48+00:00,NVIDIA H200 NVL,143771,1265,30,3,35,118.35,2063872,52902,1623348,4.44,690
2026-08-30T09:48:18+00:00,NVIDIA H200 NVL,143771,909,41,1,35,126.26,2063872,53249,1622916,3.32,689
2026-08-30T09:48:48+00:00,NVIDIA H200 NVL,143771,909,36,1,35,124.64,2063872,53226,1622939,2.46,689
