timestamp_utc,gpu_name,gpu_memory_total_mib,gpu_memory_used_mib,gpu_utilization_pct,gpu_memory_utilization_pct,gpu_temperature_c,gpu_power_w,ram_total_mib,ram_used_mib,ram_available_mib,load_1m,disk_available_gib
2026-08-30T15:48:47+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.57,2063872,52157,1624675,6.72,690
2026-08-30T15:49:17+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.56,2063872,54880,1621893,4.71,690
2026-08-30T15:49:47+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.56,2063872,54868,1621659,4.49,690
2026-08-30T15:50:17+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.58,2063872,55575,1620926,4.52,690
2026-08-30T15:50:47+00:00,NVIDIA H200 NVL,143771,0,0,0,30,72.58,2063872,55524,1620792,4.01,690
2026-08-30T15:51:18+00:00,NVIDIA H200 NVL,143771,893,0,0,31,99.58,2063872,53469,1622605,3.85,690
2026-08-30T15:51:48+00:00,NVIDIA H200 NVL,143771,1021,13,1,33,108.08,2063872,53295,1622778,2.73,690
2026-08-30T15:52:18+00:00,NVIDIA H200 NVL,143771,1021,13,1,33,108.37,2063872,53189,1622884,2.47,690
2026-08-30T15:52:48+00:00,NVIDIA H200 NVL,143771,1021,12,1,33,108.72,2063872,53176,1622897,1.94,690
2026-08-30T15:53:18+00:00,NVIDIA H200 NVL,143771,997,12,1,34,108.81,2063872,53182,1622891,1.84,690
2026-08-30T15:53:48+00:00,NVIDIA H200 NVL,143771,997,12,1,34,108.58,2063872,53105,1622968,1.56,690
2026-08-30T15:54:18+00:00,NVIDIA H200 NVL,143771,997,12,1,34,108.76,2063872,53065,1623008,1.34,690
2026-08-30T15:54:48+00:00,NVIDIA H200 NVL,143771,997,12,1,34,109.25,2063872,53081,1622992,1.37,690
2026-08-30T15:55:18+00:00,NVIDIA H200 NVL,143771,999,12,1,34,107.46,2063872,53032,1623041,1.28,690
2026-08-30T15:55:48+00:00,NVIDIA H200 NVL,143771,999,12,1,34,109.28,2063872,53020,1623053,1.30,690
2026-08-30T15:56:18+00:00,NVIDIA H200 NVL,143771,999,12,1,34,108.96,2063872,53034,1623039,6.77,690
2026-08-30T15:56:48+00:00,NVIDIA H200 NVL,143771,1001,13,1,34,109.07,2063872,53059,1623014,4.49,690
2026-08-30T15:57:18+00:00,NVIDIA H200 NVL,143771,1001,13,1,34,110.14,2063872,53041,1623032,3.19,690
2026-08-30T15:57:48+00:00,NVIDIA H200 NVL,143771,1001,13,1,34,109.25,2063872,53018,1623055,2.47,690
2026-08-30T15:58:18+00:00,NVIDIA H200 NVL,143771,1005,11,1,34,108.33,2063872,53094,1622978,1.97,690
2026-08-30T15:58:48+00:00,NVIDIA H200 NVL,143771,1005,15,1,34,109.53,2063872,53019,1623053,1.77,690
2026-08-30T15:59:18+00:00,NVIDIA H200 NVL,143771,1005,11,1,34,110.28,2063872,53031,1623042,1.61,690
2026-08-30T15:59:48+00:00,NVIDIA H200 NVL,143771,1005,13,1,34,109.05,2063872,53050,1623022,1.42,690
2026-08-30T16:00:18+00:00,NVIDIA H200 NVL,143771,901,42,1,34,124.44,2063872,53822,1622246,1.59,690
2026-08-30T16:00:48+00:00,NVIDIA H200 NVL,143771,901,44,1,35,124.52,2063872,53368,1622702,1.42,690
2026-08-30T16:01:19+00:00,NVIDIA H200 NVL,143771,901,42,1,35,125.19,2063872,53337,1622733,1.26,690
2026-08-30T16:01:49+00:00,NVIDIA H200 NVL,143771,901,43,1,36,125.39,2063872,53361,1622709,1.15,690
2026-08-30T16:02:19+00:00,NVIDIA H200 NVL,143771,901,43,1,36,125.41,2063872,53312,1622758,1.22,690
2026-08-30T16:02:49+00:00,NVIDIA H200 NVL,143771,901,43,1,36,125.71,2063872,53362,1622707,1.13,690
2026-08-30T16:03:19+00:00,NVIDIA H200 NVL,143771,879,0,0,35,98.66,2063872,53456,1622614,1.40,690
2026-08-30T16:03:49+00:00,NVIDIA H200 NVL,143771,879,0,0,34,98.19,2063872,53146,1622923,1.36,690
2026-08-30T16:04:19+00:00,NVIDIA H200 NVL,143771,879,0,0,33,97.92,2063872,53081,1622989,1.22,690
2026-08-30T16:04:49+00:00,NVIDIA H200 NVL,143771,879,0,0,33,97.91,2063872,53050,1623019,1.13,690
